userId,startDate,endDate,rowId,projectId,taskId,comments,column_0,column_1,column_2,column_3,column_4,column_5,column_6,status
JMAN379,08-01-2024,14-01-2024,1,PROJ13614,Implement automated data privacy compliance policy exception management workflows,Security Patch,1,12,1,11,4,6,12,save
JMAN379,08-01-2024,14-01-2024,2,PROJ13614,Create data migration scripts for database upgrades,Code Review,11,12,11,5,6,2,1,save
JMAN379,08-01-2024,14-01-2024,3,PROJ13614,Develop data versioning and lineage tracking mechanisms,Code Review,1,4,7,1,4,2,2,submit
JMAN379,08-01-2024,14-01-2024,4,PROJ13614,Implement automated data privacy compliance policy exception management workflows,Issue Resolved,9,9,0,4,9,8,10,save
JMAN379,08-01-2024,14-01-2024,5,PROJ13614,Implement automated data privacy compliance policy exception management workflows,User Feedback,6,6,3,10,8,12,11,submit
JMAN379,15-01-2024,21-01-2024,1,PROJ13614,Implement automated data privacy compliance policy exception management workflows,User Feedback,1,7,9,9,12,12,1,save
JMAN379,15-01-2024,21-01-2024,2,PROJ13614,Implement automated data privacy compliance policy exception management workflows,Design Updated,3,2,3,4,0,10,2,save
JMAN379,15-01-2024,21-01-2024,3,PROJ13614,Develop data versioning and lineage tracking mechanisms,Bug Fixed,10,4,8,7,11,10,6,save
JMAN379,15-01-2024,21-01-2024,4,PROJ13614,Design and implement data governance policy compliance assessment and reporting platform,Security Patch,1,3,8,10,2,10,7,submit
JMAN379,15-01-2024,21-01-2024,5,PROJ13614,Develop data versioning and lineage tracking mechanisms,Testing Passed,12,9,2,3,12,8,11,submit
JMAN379,22-01-2024,28-01-2024,1,PROJ13614,Create data migration scripts for database upgrades,Task Completed,4,8,5,7,2,1,10,save
JMAN379,22-01-2024,28-01-2024,2,PROJ13614,Design and implement data governance policy compliance assessment and reporting platform,Progress Update,5,6,12,0,4,1,6,save
JMAN379,22-01-2024,28-01-2024,3,PROJ13614,Implement automated data privacy compliance policy exception management workflows,Deployment Ready,4,4,0,12,1,1,0,save
JMAN379,29-01-2024,04-02-2024,1,PROJ13614,Develop data versioning and lineage tracking mechanisms,Requirement Clarified,4,12,2,11,11,12,7,submit
JMAN379,29-01-2024,04-02-2024,2,PROJ13614,Develop data versioning and lineage tracking mechanisms,Progress Update,3,7,11,7,0,5,12,submit
JMAN379,29-01-2024,04-02-2024,3,PROJ13614,Create data migration scripts for database upgrades,User Feedback,0,10,2,11,5,12,12,submit
JMAN379,29-01-2024,04-02-2024,4,PROJ13614,Implement automated data privacy compliance policy exception management workflows,Data Analysis,7,1,1,12,6,10,7,submit
