_id,user_id,userName,dateOfJoin,mobileNumber,email,city,state,pin,dateOfBirth,gender,reportingUserId,reporterName,roles,designationId,designation,departmentId,department,user_status,password,requirePasswordChange
6615493defd9a4599262270b,JMAN247,Melissa Case,30/06/2010,9801001324,Melissa@gmail.com,North Pamela,Goa,400003,01/02/1996,male,,Gary King,user,5a28a7a5-9950-40df-9b29-da223b74701b,Senior Software Engineer,b738be0a-f6bb-4c02-882a-c7ac1cabdb01,Delivery,left,+8EeM2pQT2,True
6615493defd9a4599262270c,JMAN357,Kelly Cox DVM,19/09/2020,4396116259,Kelly@gmail.com,Tylerton,Uttar Pradesh,865846,25/04/1991,female,,Jermaine Riddle,admin,1ea61e90-333c-4102-a6c0-9f66ad8e59ce,Senior Associate Consultant,b738be0a-f6bb-4c02-882a-c7ac1cabdb01,Delivery,left,h6TL6P$kr&,True
6615493defd9a4599262270d,JMAN678,Caleb Singleton,12/08/2015,2527288174,Caleb@yahoo.com,Antoniomouth,Chhattisgarh,972602,16/09/1989,female,,Dylan Forbes,admin,fbbfbbb7-ea35-44cb-8944-3d7abc67f3ec,Business Administrator,5e79cd96-279f-45cf-9984-5d822a2632e1,Operations,left,@4TN$kzIEi,True
6615493defd9a4599262270e,JMAN716,Mrs. Beth Wagner,31/07/2021,3723525025,Mrs.@gmail.com,Lake George,Tamil Nadu,730351,02/04/2001,male,,Melissa Richardson,admin,379aac20-a043-41ea-911b-5920aac57a7d,Software Engineer,9ca17918-0e85-4e94-b2ba-298f26eaf27e,Administration,active,CO6y4LFi5*,False
6615493defd9a4599262270f,JMAN751,Nancy Page,17/06/2014,7839162399,Nancy@yahoo.com,Cynthiaview,Manipur,696116,24/05/1978,female,,Brooke Harrington,user,1ea61e90-333c-4102-a6c0-9f66ad8e59ce,Senior Associate Consultant,5e79cd96-279f-45cf-9984-5d822a2632e1,Operations,active,0^8Ym(nz_3,True
6615493defd9a45992622710,JMAN222,Courtney Gonzales,20/10/2014,7559386913,Courtney@gmail.com,Port Jamesmouth,Haryana,525133,05/04/2002,female,,Amy Monroe,user,d0269cd6-9465-46cc-b4a1-babe8d93d547,Consultant,9ca17918-0e85-4e94-b2ba-298f26eaf27e,Administration,active,+zP5*MmuJu,True
6615493defd9a45992622711,JMAN929,Robert Nunez,31/05/2014,7514607933,Robert@gmail.com,South Erinmouth,Chhattisgarh,499877,09/02/1977,female,,Steven Jones,admin,1ea61e90-333c-4102-a6c0-9f66ad8e59ce,Senior Associate Consultant,5e79cd96-279f-45cf-9984-5d822a2632e1,Operations,left,@Si8ES@dS#,True
6615493defd9a45992622712,JMAN159,Xavier Mack,23/12/2021,7186831729,Xavier@yahoo.com,Wilkersonmouth,Chhattisgarh,602017,08/10/1975,female,,Jorge Gaines,user,fbbfbbb7-ea35-44cb-8944-3d7abc67f3ec,Business Administrator,9ca17918-0e85-4e94-b2ba-298f26eaf27e,Administration,active,+r1)PWGil&,True
6615493defd9a45992622713,JMAN990,Tracy Norman,25/06/2010,7170294535,Tracy@gmail.com,Taylormouth,Karnataka,800239,24/02/1984,female,,Kathryn Thomas,user,5a28a7a5-9950-40df-9b29-da223b74701b,Senior Software Engineer,9ca17918-0e85-4e94-b2ba-298f26eaf27e,Administration,left,g^*oZC)t^3,False
6615493defd9a45992622714,JMAN847,Lisa Martinez,28/05/2024,5885951582,Lisa@gmail.com,Lake Laurenville,Meghalaya,711536,26/01/1988,female,,Tina Vazquez,user,5a28a7a5-9950-40df-9b29-da223b74701b,Senior Software Engineer,9ca17918-0e85-4e94-b2ba-298f26eaf27e,Administration,active,@6Kw6d_f72,True
